Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.4432	0.1656	1.1191	0.9941
002	0.5040	0.0432	0.9892	0.9892
003	0.5635	0.0272	0.9098	0.9773
004	0.5766	0.0233	0.8804	0.9710
005	0.6235	0.0217	0.8127	0.9616
006	0.6360	0.0198	0.7999	0.9561
007	0.6616	0.0186	0.7272	0.9495
008	0.6778	0.0180	0.7216	0.9445
009	0.6965	0.0172	0.6634	0.9361
010	0.7133	0.0170	0.6430	0.9322
