Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.2879	0.1748	1.6262	0.9941
002	0.3517	0.0464	1.4876	0.9879
003	0.4091	0.0285	1.3768	0.9752
004	0.4459	0.0244	1.3240	0.9681
005	0.4791	0.0221	1.2429	0.9590
006	0.5084	0.0213	1.1949	0.9533
007	0.5486	0.0199	1.0908	0.9434
008	0.5625	0.0195	1.0537	0.9374
009	0.5977	0.0198	0.9711	0.9289
010	0.6018	0.0191	0.9662	0.9288
