Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.3318	0.2540	1.6661	0.9943
002	0.3647	0.1126	1.4701	0.9913
003	0.4107	0.0647	1.3763	0.9859
004	0.4355	0.0516	1.3302	0.9795
005	0.4817	0.0444	1.2286	0.9734
006	0.5292	0.0421	1.1561	0.9681
007	0.5599	0.0405	1.0813	0.9630
008	0.5794	0.0403	1.0257	0.9601
009	0.6123	0.0398	0.9491	0.9577
010	0.6296	0.0392	0.9145	0.9549
