Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.2544	0.2343	1.9321	0.9920
002	0.3082	0.0893	1.7205	0.9827
003	0.3968	0.0538	1.5548	0.9705
004	0.4153	0.0452	1.5005	0.9646
005	0.4557	0.0388	1.4042	0.9580
006	0.4850	0.0361	1.3317	0.9538
007	0.5119	0.0345	1.2388	0.9479
008	0.5305	0.0339	1.2079	0.9447
009	0.5622	0.0330	1.1034	0.9397
010	0.5791	0.0326	1.0857	0.9389
