Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.3232	0.2540	1.6693	0.9945
002	0.3527	0.1152	1.4666	0.9910
003	0.4192	0.0673	1.3805	0.9851
004	0.4461	0.0527	1.3229	0.9792
005	0.5014	0.0454	1.2160	0.9722
006	0.5275	0.0424	1.1592	0.9661
007	0.5666	0.0410	1.0790	0.9618
008	0.5930	0.0408	1.0135	0.9577
009	0.6197	0.0405	0.9521	0.9555
010	0.6233	0.0402	0.9260	0.9537
